epoch,train_loss,val_loss,train_acc,val_acc,train_bacc,val_bacc
39,0.05268038916782926,0.17071688927083822,0.9838960727969348,0.9579741379310345,0.9309806034482758,0.7888444170771758
40,0.053289233473057314,0.16837165295748555,0.9844348659003831,0.9568965517241379,0.9335847701149426,0.8057830459770117
41,0.04329401819920569,0.1712622625697083,0.9870689655172413,0.9568965517241379,0.933107553366174,0.802853037766831
42,0.04121451546961907,0.1864940192167053,0.9865301724137931,0.9558189655172413,0.9225754310344828,0.7914460180623974
43,0.0580764977326155,0.18622086910282037,0.9816810344827587,0.9558189655172413,0.9121305418719212,0.8117168750789442
44,0.0580764977326155,0.18551139140567854,0.9816810344827587,0.9574353448275862,0.9121305418719212,0.8134493021346472
45,0.04320110397208642,0.18285707814783533,0.9878771551724138,0.9617456896551724,0.9383979885057471,0.8202175697865354
46,0.034949854116411154,0.19584990240551195,0.9908405172413793,0.9622844827586207,0.9597162356321838,0.8038587848932677
47,0.034949854116411154,0.18816030595415464,0.9908405172413793,0.9558189655172413,0.9597162356321838,0.8257697044334977
48,0.034949854116411154,0.19292409094737978,0.9908405172413793,0.9601293103448276,0.9597162356321838,0.8141676929392447
49,0.03719435993116349,0.20723454177566275,0.9884159482758621,0.9525862068965517,0.9476652298850575,0.8120125205254517
50,0.03719435993116349,0.18725167139903,0.9884159482758621,0.9568965517241379,0.9476652298850575,0.8272937192118228
51,0.0382304465611955,0.1906896677423431,0.9878771551724138,0.9655172413793104,0.9414870689655173,0.8170771756978654
52,0.029087657524636094,0.2002720500086384,0.9908405172413793,0.9601293103448276,0.9584051724137932,0.814706486042693
53,0.029087657524636094,0.20239445919836224,0.9908405172413793,0.9649784482758621,0.9584051724137932,0.8296336206896553
54,0.034118533536645276,0.2255535648764635,0.9889547413793104,0.9498922413793104,0.947539511494253,0.8293052134646963
