epoch,train_loss,val_loss,train_acc,val_acc,train_bacc,val_bacc
1,0.21704518716332727,0.18860981016066566,0.960518438697318,0.9520474137931034,0.7691271551724138,0.7155172413793104
2,0.1383630762535051,0.1934417727933233,0.9593809865900383,0.9520474137931034,0.7640086206896551,0.7155172413793104
3,0.10994893687391846,0.19708086152416493,0.9674030172413793,0.9488146551724138,0.8017241379310345,0.7168103448275862
4,0.11146467914082238,0.18348739571580341,0.9660560344827587,0.9455818965517241,0.79058908045977,0.7202227011494254
5,0.12252892627669819,0.19553390566002707,0.9617456896551724,0.9331896551724138,0.7904094827586208,0.7185806650246306
6,0.12252892627669819,0.17753176754019384,0.9617456896551724,0.9488146551724138,0.7904094827586208,0.7283405172413794
7,0.09741981199476868,0.1655558906094139,0.9720426245210728,0.9477370689655172,0.8403975095785441,0.7312089490968802
8,0.08593601566249633,0.17602507556499591,0.9733297413793104,0.947198275862069,0.8540589080459771,0.7545720443349754
9,0.08593601566249633,0.17939046962218808,0.9733297413793104,0.9439655172413793,0.8540589080459771,0.7680110837438424
10,0.08593601566249633,0.18747368937053172,0.9733297413793104,0.9461206896551724,0.8540589080459771,0.7559780377668308
11,0.07324043145114235,0.18608473223264746,0.9803340517241379,0.9482758620689655,0.9083692528735633,0.771603037766831
12,0.07324043145114235,0.17525967807862267,0.9803340517241379,0.9477370689655172,0.9083692528735633,0.7640034893267653
13,0.08745059461718233,0.17036286239102805,0.974676724137931,0.9563577586206896,0.8729885057471264,0.7574712643678162
14,0.0676814293436674,0.16577805409505,0.9803340517241379,0.9574353448275862,0.8938397988505747,0.7802391215106732
15,0.0676814293436674,0.1657751323795749,0.9803340517241379,0.9536637931034483,0.8938397988505747,0.7942118226600986
16,0.07246698830116155,0.18424812491565687,0.9779094827586207,0.9396551724137931,0.883459051724138,0.796310550082102
17,0.07514160987921059,0.16139339385674625,0.978448275862069,0.9595905172413793,0.9010237068965516,0.7926159688013137
18,0.0674193213685769,0.16758823038705079,0.9800646551724138,0.9558189655172413,0.8954459154351397,0.7986299261083745
19,0.06429030401893121,0.1675985050467967,0.9787176724137931,0.9536637931034483,0.9010391009852218,0.8028684318555009
20,0.0677289789781408,0.16902580228433461,0.9800646551724138,0.9547413793103449,0.8967928981937602,0.8067118226600986
21,0.060342000741190435,0.17366510750434827,0.9814116379310345,0.9606681034482759,0.9129849137931034,0.8199712643678164
22,0.060342000741190435,0.1603831416788784,0.9814116379310345,0.962823275862069,0.9129849137931034,0.8215671182266011
23,0.06735800050604478,0.16338705448915475,0.9773706896551724,0.9552801724137931,0.8926364942528736,0.8055059523809526
24,0.06735800050604478,0.1666509900804095,0.9773706896551724,0.9595905172413793,0.8926364942528736,0.7977370689655173
25,0.05962895113645635,0.1558915528474809,0.9816810344827587,0.9601293103448276,0.9132722701149424,0.8164306239737276
26,0.06011393028692792,0.18658387286444034,0.9819504310344828,0.9498922413793104,0.9116738505747127,0.840973932676519
27,0.06011393028692792,0.1512589605689723,0.9819504310344828,0.9585129310344828,0.9116738505747127,0.805690681444992
28,0.06011393028692792,0.17782073287325428,0.9819504310344828,0.9585129310344828,0.9116738505747127,0.7903017241379311
29,0.06011393028692792,0.17083195318439814,0.9819504310344828,0.9601293103448276,0.9116738505747127,0.8129823481116587
30,0.05259231341739811,0.15775791744516907,0.9855124521072797,0.9639008620689655,0.9306752873563218,0.8194837848932678
31,0.05072908621413858,0.16414748738391388,0.9841056034482759,0.9585129310344828,0.9321556855500822,0.8171490147783254
32,0.03857907632582596,0.19363671705550273,0.9897629310344828,0.9612068965517241,0.9464260057471264,0.8045412561576356
33,0.04821892084497637,0.18211402637875992,0.9857219827586207,0.959051724137931,0.9311422413793103,0.8187448686371102
34,0.043372958093672864,0.21706139425253335,0.9865301724137931,0.9542025862068966,0.9268036740558293,0.8252155172413795
35,0.06367398128927092,0.16492065959128327,0.9806034482758621,0.9639008620689655,0.9081255131362892,0.811889367816092
36,0.04174688832803252,0.17923665741069145,0.9865301724137931,0.9644396551724138,0.9316050508399647,0.8189449917898194
37,0.04174688832803252,0.18352873366253836,0.9865301724137931,0.9633620689655172,0.9316050508399647,0.8201662561576355
38,0.04670390098682878,0.17664222835948498,0.9857219827586207,0.9552801724137931,0.9322377873563219,0.8340465927750412
