tpr,fpr,auc
0.0,0.0,0.5411772060536829
0.0,0.0009718172983479105,0.5411772060536829
0.0,0.006802721088435374,0.5411772060536829
0.011695906432748537,0.006802721088435374,0.5411772060536829
0.011695906432748537,0.013605442176870748,0.5411772060536829
0.017543859649122806,0.013605442176870748,0.5411772060536829
0.017543859649122806,0.023323615160349854,0.5411772060536829
0.023391812865497075,0.023323615160349854,0.5411772060536829
0.023391812865497075,0.029154518950437316,0.5411772060536829
0.029239766081871343,0.029154518950437316,0.5411772060536829
0.029239766081871343,0.03498542274052478,0.5411772060536829
0.03508771929824561,0.03498542274052478,0.5411772060536829
0.03508771929824561,0.037900874635568516,0.5411772060536829
0.04093567251461988,0.037900874635568516,0.5411772060536829
0.04093567251461988,0.04956268221574344,0.5411772060536829
0.05263157894736842,0.04956268221574344,0.5411772060536829
0.05263157894736842,0.056365403304178816,0.5411772060536829
0.06432748538011696,0.056365403304178816,0.5411772060536829
0.06432748538011696,0.06608357628765792,0.5411772060536829
0.07017543859649122,0.06608357628765792,0.5411772060536829
0.07017543859649122,0.07191448007774538,0.5411772060536829
0.07602339181286549,0.07191448007774538,0.5411772060536829
0.07602339181286549,0.08066083576287658,0.5411772060536829
0.08187134502923976,0.08066083576287658,0.5411772060536829
0.08187134502923976,0.08357628765792031,0.5411772060536829
0.08771929824561403,0.08357628765792031,0.5411772060536829
0.08771929824561403,0.09912536443148688,0.5411772060536829
0.0935672514619883,0.09912536443148688,0.5411772060536829
0.0935672514619883,0.1010689990281827,0.5411772060536829
0.09941520467836257,0.1010689990281827,0.5411772060536829
0.09941520467836257,0.10398445092322643,0.5411772060536829
0.10526315789473684,0.10398445092322643,0.5411772060536829
0.10526315789473684,0.10884353741496598,0.5411772060536829
0.1111111111111111,0.10884353741496598,0.5411772060536829
0.1111111111111111,0.11467444120505345,0.5411772060536829
0.11695906432748537,0.11467444120505345,0.5411772060536829
0.11695906432748537,0.1185617103984451,0.5411772060536829
0.1286549707602339,0.1185617103984451,0.5411772060536829
0.1286549707602339,0.12244897959183673,0.5411772060536829
0.13450292397660818,0.12244897959183673,0.5411772060536829
0.13450292397660818,0.12439261418853255,0.5411772060536829
0.14619883040935672,0.12439261418853255,0.5411772060536829
0.14619883040935672,0.1292517006802721,0.5411772060536829
0.15204678362573099,0.1292517006802721,0.5411772060536829
0.15204678362573099,0.13119533527696792,0.5411772060536829
0.16374269005847952,0.13119533527696792,0.5411772060536829
0.16374269005847952,0.13313896987366375,0.5411772060536829
0.1695906432748538,0.13313896987366375,0.5411772060536829
0.1695906432748538,0.13508260447035958,0.5411772060536829
0.17543859649122806,0.13508260447035958,0.5411772060536829
0.17543859649122806,0.1360544217687075,0.5411772060536829
0.18128654970760233,0.1360544217687075,0.5411772060536829
0.18128654970760233,0.15257531584062195,0.5411772060536829
0.1871345029239766,0.15257531584062195,0.5411772060536829
0.1871345029239766,0.1554907677356657,0.5411772060536829
0.19298245614035087,0.1554907677356657,0.5411772060536829
0.19298245614035087,0.1564625850340136,0.5411772060536829
0.2046783625730994,0.1564625850340136,0.5411772060536829
0.2046783625730994,0.17201166180758018,0.5411772060536829
0.21052631578947367,0.17201166180758018,0.5411772060536829
0.21052631578947367,0.17395529640427598,0.5411772060536829
0.21637426900584794,0.17395529640427598,0.5411772060536829
0.21637426900584794,0.17784256559766765,0.5411772060536829
0.2222222222222222,0.17784256559766765,0.5411772060536829
0.2222222222222222,0.184645286686103,0.5411772060536829
0.23391812865497075,0.184645286686103,0.5411772060536829
0.23391812865497075,0.19047619047619047,0.5411772060536829
0.23976608187134502,0.19047619047619047,0.5411772060536829
0.23976608187134502,0.2021379980563654,0.5411772060536829
0.24561403508771928,0.2021379980563654,0.5411772060536829
0.24561403508771928,0.20408163265306123,0.5411772060536829
0.25146198830409355,0.20408163265306123,0.5411772060536829
0.25146198830409355,0.2108843537414966,0.5411772060536829
0.2573099415204678,0.2108843537414966,0.5411772060536829
0.2573099415204678,0.2206025267249757,0.5411772060536829
0.2631578947368421,0.2206025267249757,0.5411772060536829
0.2631578947368421,0.22157434402332363,0.5411772060536829
0.27485380116959063,0.22157434402332363,0.5411772060536829
0.27485380116959063,0.22448979591836735,0.5411772060536829
0.2807017543859649,0.22448979591836735,0.5411772060536829
0.2807017543859649,0.23226433430515064,0.5411772060536829
0.28654970760233917,0.23226433430515064,0.5411772060536829
0.28654970760233917,0.23809523809523808,0.5411772060536829
0.29239766081871343,0.23809523809523808,0.5411772060536829
0.29239766081871343,0.24295432458697766,0.5411772060536829
0.2982456140350877,0.24295432458697766,0.5411772060536829
0.2982456140350877,0.24489795918367346,0.5411772060536829
0.30409356725146197,0.24489795918367346,0.5411772060536829
0.30409356725146197,0.24975704567541301,0.5411772060536829
0.30994152046783624,0.24975704567541301,0.5411772060536829
0.30994152046783624,0.25267249757045673,0.5411772060536829
0.3216374269005848,0.25267249757045673,0.5411772060536829
0.3216374269005848,0.26239067055393583,0.5411772060536829
0.32748538011695905,0.26239067055393583,0.5411772060536829
0.32748538011695905,0.26822157434402333,0.5411772060536829
0.3333333333333333,0.26822157434402333,0.5411772060536829
0.3333333333333333,0.27405247813411077,0.5411772060536829
0.3391812865497076,0.27405247813411077,0.5411772060536829
0.3391812865497076,0.2789115646258503,0.5411772060536829
0.34502923976608185,0.2789115646258503,0.5411772060536829
0.34502923976608185,0.2847424684159378,0.5411772060536829
0.3567251461988304,0.2847424684159378,0.5411772060536829
0.3567251461988304,0.2857142857142857,0.5411772060536829
0.36257309941520466,0.2857142857142857,0.5411772060536829
0.36257309941520466,0.28960155490767736,0.5411772060536829
0.3684210526315789,0.28960155490767736,0.5411772060536829
0.3684210526315789,0.2915451895043732,0.5411772060536829
0.3742690058479532,0.2915451895043732,0.5411772060536829
0.3742690058479532,0.2944606413994169,0.5411772060536829
0.38596491228070173,0.2944606413994169,0.5411772060536829
0.38596491228070173,0.304178814382896,0.5411772060536829
0.391812865497076,0.304178814382896,0.5411772060536829
0.391812865497076,0.3177842565597668,0.5411772060536829
0.39766081871345027,0.3177842565597668,0.5411772060536829
0.39766081871345027,0.3226433430515063,0.5411772060536829
0.40350877192982454,0.3226433430515063,0.5411772060536829
0.40350877192982454,0.32555879494655005,0.5411772060536829
0.4093567251461988,0.32555879494655005,0.5411772060536829
0.4093567251461988,0.3304178814382896,0.5411772060536829
0.42105263157894735,0.3304178814382896,0.5411772060536829
0.42105263157894735,0.3333333333333333,0.5411772060536829
0.4269005847953216,0.3333333333333333,0.5411772060536829
0.4269005847953216,0.337220602526725,0.5411772060536829
0.43859649122807015,0.337220602526725,0.5411772060536829
0.43859649122807015,0.358600583090379,0.5411772060536829
0.4444444444444444,0.358600583090379,0.5411772060536829
0.4444444444444444,0.39067055393586003,0.5411772060536829
0.4502923976608187,0.39067055393586003,0.5411772060536829
0.4502923976608187,0.391642371234208,0.5411772060536829
0.45614035087719296,0.391642371234208,0.5411772060536829
0.45614035087719296,0.39552964042759964,0.5411772060536829
0.4619883040935672,0.39552964042759964,0.5411772060536829
0.4619883040935672,0.4003887269193392,0.5411772060536829
0.4678362573099415,0.4003887269193392,0.5411772060536829
0.4678362573099415,0.4013605442176871,0.5411772060536829
0.47368421052631576,0.4013605442176871,0.5411772060536829
0.47368421052631576,0.40816326530612246,0.5411772060536829
0.4853801169590643,0.40816326530612246,0.5411772060536829
0.4853801169590643,0.4101068999028183,0.5411772060536829
0.49122807017543857,0.4101068999028183,0.5411772060536829
0.49122807017543857,0.4217687074829932,0.5411772060536829
0.49707602339181284,0.4217687074829932,0.5411772060536829
0.49707602339181284,0.4227405247813411,0.5411772060536829
0.5146198830409356,0.4227405247813411,0.5411772060536829
0.5146198830409356,0.42468415937803694,0.5411772060536829
0.52046783625731,0.42468415937803694,0.5411772060536829
0.52046783625731,0.44314868804664725,0.5411772060536829
