date,pred
07-20-2020,-4
01-31-2018,-9
12-06-2018,-3
10-17-2021,-14
05-04-2022,-3
05-03-2019,-1
04-21-2022,-1
05-31-2020,-4
02-21-2023,-10
03-08-2020,-13
11-08-2022,-15
10-28-2023,-17
04-04-2019,-5
12-02-2020,-6
10-05-2020,-12
02-15-2022,-15
05-07-2023,-8
10-16-2023,-16
08-28-2021,-10
02-15-2020,-18
08-19-2023,0
02-25-2021,-9
01-16-2019,-5
01-27-2022,-13
09-15-2021,-1
06-05-2024,-5
12-10-2020,-8
09-14-2021,0
03-19-2022,-6
03-19-2023,-11
04-11-2023,-11
11-24-2022,-17
11-18-2020,-18
10-01-2023,-9
11-14-2020,-2
12-18-2023,-17
02-15-2024,-3
02-03-2018,-4
06-11-2024,-15
05-01-2018,-6
07-28-2023,1
02-01-2022,-13
03-07-2020,-7
08-08-2018,5
04-04-2021,0
02-25-2019,-11
12-29-2022,-11
05-18-2021,-8
10-11-2019,-9
03-14-2019,-4
06-02-2019,4
12-20-2023,-13
08-17-2021,2
07-06-2021,0
04-18-2023,-17
07-04-2021,-6
08-08-2018,8
04-15-2024,-20
04-23-2023,-5
10-12-2022,-15
04-14-2022,-7
05-29-2017,1
10-19-2020,-2
11-29-2020,-10
12-02-2022,-18
09-20-2023,-10
03-11-2021,-12
02-03-2018,-8
04-10-2021,-11
06-05-2023,-13
09-17-2019,3
10-02-2020,0
06-09-2023,1
06-25-2022,-13
11-10-2018,-7
03-19-2022,-5
01-18-2022,-20
07-25-2019,-2
07-10-2018,1
10-19-2019,-2
03-04-2017,-14
03-21-2023,-17
02-20-2024,-20
05-15-2019,-13
07-25-2023,-10
02-14-2022,-7
04-01-2019,-2
05-03-2020,-6
05-01-2018,1
07-30-2021,-2
11-26-2017,-10
10-18-2017,-6
11-04-2018,-8
07-05-2021,-4
07-06-2021,0
01-29-2021,-15
05-26-2021,0
10-01-2019,-8
08-30-2020,-6
03-04-2021,-11
12-18-2017,-6
06-16-2019,0
08-12-2020,-1
05-26-2017,-4
07-28-2020,-10
12-04-2017,-9
01-17-2021,-22
09-22-2018,-3
04-06-2024,-15
03-05-2021,-15
01-03-2024,-18
06-20-2024,-15
12-07-2023,-16
06-16-2024,-15
10-29-2023,-19
04-05-2018,-7
12-10-2022,-12
09-30-2021,-12
11-16-2020,-22
07-05-2020,-4
11-28-2021,-15
12-12-2019,-6
08-14-2018,2
09-03-2023,-12
12-13-2017,-10
02-02-2020,-10
08-31-2019,-9
12-04-2021,-9
03-08-2023,-16
04-04-2019,-7
04-08-2022,-9
11-21-2019,-6
10-05-2021,-9
07-11-2023,-10
12-26-2021,-16
02-09-2018,-8
03-04-2023,-18
02-08-2023,-8
03-29-2021,-11
04-25-2024,-9
04-16-2019,-5
03-06-2023,-8
12-14-2021,-12
09-11-2021,-2
04-28-2024,-5
11-21-2022,-17
03-29-2021,-9
03-03-2024,-9
12-02-2021,-4
01-15-2021,-18
05-02-2020,-12
06-01-2020,0
09-20-2022,-10
12-03-2019,-8
05-15-2020,-5
04-07-2019,-7
12-28-2021,-9
11-18-2022,-12
04-29-2017,1
01-06-2020,-8
11-01-2021,-6
06-25-2017,-5
10-29-2023,-19
05-08-2019,-5
03-07-2019,-5
07-21-2020,6
04-12-2021,-16
02-02-2020,-9
04-30-2024,-11
03-18-2022,-15
08-31-2022,1
12-19-2022,-16
07-14-2020,-5
01-22-2019,-7
02-07-2018,-9
12-06-2018,-9
11-14-2020,-8
03-05-2018,-11
05-15-2021,-7
07-22-2022,-2
05-30-2019,-3
04-28-2021,-3
06-17-2019,-4
06-28-2022,-5
10-05-2019,-6
04-22-2021,-6
09-15-2021,0
07-03-2017,1
04-21-2017,0
01-21-2023,-13
04-18-2024,-13
12-04-2019,-8
02-24-2024,-22
04-02-2023,-14
07-11-2017,4
01-11-2024,-15
02-23-2023,-3
05-25-2018,-2
02-24-2023,-12
09-10-2021,-8
11-06-2019,-6
11-11-2017,-8
05-13-2021,-14
11-28-2023,-12
05-24-2018,1
11-21-2019,-9
10-03-2021,-5
11-10-2016,-7
11-21-2020,-9
09-02-2022,-17
04-29-2024,-16
11-06-2016,-10
12-18-2022,-15
07-15-2020,-1
04-28-2022,-5
07-14-2017,2
02-06-2018,-8
11-02-2019,-5
03-20-2022,-16
10-08-2020,-1
05-01-2021,-10
01-20-2023,-8
10-19-2022,-17
02-12-2022,-12
08-27-2018,2
02-02-2019,-11
03-05-2023,-13
03-12-2020,-8
12-17-2018,-11
07-06-2021,1
12-03-2020,-21
03-27-2019,-8
01-10-2019,-6
04-02-2022,-15
11-23-2018,-6
09-23-2022,-14
01-01-2018,-9
02-22-2020,-1
01-14-2022,-9
07-20-2023,-2
12-19-2019,-8
06-10-2018,0
12-26-2018,0
07-22-2020,3
07-09-2021,-12
03-19-2024,-19
07-07-2021,-4
11-29-2020,-11
06-16-2023,1
12-18-2018,-4
10-01-2020,-11
06-28-2017,1
05-03-2024,-6
04-30-2018,-2
02-04-2023,-16
01-14-2022,-9
06-09-2020,0
02-13-2019,-1
04-27-2021,-11
10-17-2019,-15
11-26-2021,-11
07-17-2023,3
08-19-2019,4
05-22-2021,-5
11-15-2020,-15
07-26-2018,-2
06-14-2017,2
01-07-2021,-20
10-30-2017,-12
02-04-2024,-21
02-25-2021,-14
03-30-2019,-4
01-20-2018,-7
09-28-2017,1
06-17-2023,-1
01-15-2023,-10
02-08-2021,-9
12-22-2018,-5
10-07-2020,3
03-22-2018,-5
09-20-2021,-10
01-23-2022,-5
01-22-2024,-17
09-22-2019,5
01-31-2018,-7
03-14-2021,-8
10-03-2020,-3
02-05-2019,-5
01-30-2022,-16
03-23-2019,-9
05-14-2021,-4
07-25-2021,1
06-01-2017,3
09-26-2022,-13
09-16-2023,-13
01-20-2020,-7
03-18-2018,-5
04-18-2021,-11
11-18-2020,-10
02-18-2023,-15
04-05-2021,-2
06-18-2021,-8
04-03-2021,-12
08-03-2023,3
08-31-2019,3
05-10-2024,-11
06-15-2019,-2
09-12-2019,2
05-18-2022,-9
03-16-2023,-15
11-28-2021,-16
03-13-2022,-17
05-01-2023,-13
04-21-2021,-5
04-14-2020,-10
11-17-2021,-7
06-09-2024,-7
05-13-2021,-13
06-05-2024,-5
10-26-2016,-1
04-23-2019,-1
05-22-2020,-7
03-29-2019,-5
04-18-2023,-16
10-26-2017,-4
08-13-2020,-6
11-20-2021,-13
09-28-2020,-1
02-14-2019,-12
03-28-2018,-6
06-01-2018,0
01-09-2021,-9
10-29-2018,-11
11-02-2017,-6
03-03-2018,-10
05-03-2022,-2
03-11-2024,-17
03-06-2021,-10
07-11-2020,5
12-10-2016,-8
04-28-2021,-4
01-29-2021,-7
01-30-2020,-1
08-04-2019,-1
08-23-2021,2
11-23-2021,-13
03-18-2019,-9
10-13-2018,-4
06-04-2018,-9
07-13-2021,-11
10-24-2023,-12
04-04-2021,0
11-23-2018,-3
06-19-2021,-1
06-27-2023,-11
09-08-2017,1
01-23-2021,-16
07-13-2017,-6
10-13-2023,-17
06-11-2023,-1
09-26-2022,-13
11-03-2017,-7
10-01-2023,-10
11-30-2021,-16
09-04-2020,-6
06-17-2022,-13
07-03-2019,1
12-21-2022,-14
09-03-2021,-12
11-14-2020,-17
10-01-2018,-4
07-04-2021,-7
10-26-2023,-22
12-01-2021,-8
03-07-2023,-8
01-10-2019,-6
05-04-2021,-2
12-06-2020,-16
03-14-2024,-18
01-20-2023,-9
07-09-2021,-11
11-28-2022,-14
12-19-2022,-13
08-26-2023,-6
02-17-2020,-3
09-20-2022,-11
03-21-2021,-10
02-03-2024,-13
07-15-2019,0
06-29-2019,-4
04-24-2022,-4
11-14-2021,-15
05-20-2022,-9
09-08-2017,1
10-09-2023,-18
04-03-2022,-9
01-22-2019,-16
06-03-2017,1
11-21-2021,-16
01-06-2019,-10
07-04-2021,3
03-12-2024,-19
03-13-2019,-6
01-15-2023,-15
05-11-2018,-4
06-01-2021,-5
01-17-2024,-18
04-14-2022,-2
08-31-2021,-3
06-06-2022,-14
04-04-2019,-3
10-05-2020,-12
04-21-2022,0
04-18-2019,0
06-06-2021,-12
04-03-2019,-7
12-13-2022,-8
08-07-2019,2
05-07-2019,-6
01-24-2022,-14
06-13-2022,0
09-20-2019,-4
11-08-2016,-5
06-07-2020,1
10-24-2020,-14
07-12-2020,3
05-18-2022,-8
10-27-2017,-7
08-11-2023,-11
05-27-2017,2
10-24-2021,-13
10-18-2021,-18
03-14-2020,-7
08-16-2018,0
08-19-2023,-9
06-17-2021,-9
02-12-2017,-9
10-22-2017,-9
03-28-2022,-16
10-26-2017,-5
01-05-2024,-17
04-30-2024,-9
04-02-2024,-11
08-03-2022,0
10-05-2020,-3
01-23-2022,-9
12-07-2023,-13
03-05-2023,-16
04-26-2022,-11
12-24-2019,-9
